nmun,desciel,dh,dirvienc,dirvieng,dpt,dsem,hloc,hr,ides,idmun,lat,lon,nes,nhor,prec,probprec,raf,temp,velvien
Fresnillo de Trujano,Cielo cubierto,6,Oeste,275.20,18.30,Lunes,2023-09-11 14:00:00,36.83,20,32,17.9080,-98.1363,Oaxaca,114, 0.00, 0.00,10.56,25.42, 7.57
Frontera,Despejado,6,Noreste,48.67,25.82,Lunes,2023-09-11 14:00:00,19.48,5,10,26.9261,-101.4494,Coahuila,114, 0.00, 0.00,12.15,38.42,11.57
Frontera Comalapa,Poco nuboso,6,Oeste,254.17,25.44,Lunes,2023-09-11 14:00:00,59.43,7,34,15.6602,-92.1411,Chiapas,114, 1.05,19.20, 8.72,29.36, 6.02
Frontera Hidalgo,Medio nublado,6,Suroeste,234.34,29.79,Lunes,2023-09-11 14:00:00,67.00,7,35,14.7778,-92.1760,Chiapas,114, 1.60,95.00,11.46,32.86, 7.90
Fronteras,Cielo cubierto,7,Suroeste,241.96,22.70,Lunes,2023-09-11 14:00:00,19.40,26,27,30.8982,-109.5600,Sonora,114, 0.08, 0.00,25.90,35.07,22.80
Gabriel Zamora,Poco nuboso,6,Suroeste,214.10,24.81,Lunes,2023-09-11 14:00:00,60.36,16,33,19.1598,-102.0540,Michoacán de Ocampo,114, 0.30, 0.00, 6.90,28.56, 6.40
Galeana,Despejado,6,Noreste,60.91,15.84,Lunes,2023-09-11 14:00:00,23.43,19,17,24.8263,-100.0774,Nuevo León,114, 0.00, 0.00,22.14,26.21,16.07
García,Despejado,6,Este,86.31,21.59,Lunes,2023-09-11 14:00:00,22.57,19,18,25.8005,-100.5855,Nuevo León,114, 0.00, 0.00,21.55,32.63,20.48
Genaro Codina,Despejado,6,Noreste,57.52,15.51,Lunes,2023-09-11 14:00:00,22.92,32,12,22.4876,-102.4566,Zacatecas,114, 0.00, 0.00,20.08,25.91,19.75
General Bravo,Despejado,6,Sureste,118.40,25.36,Lunes,2023-09-11 14:00:00,26.93,19,20,25.7933,-99.1812,Nuevo León,114, 0.00, 0.00,21.33,35.33,20.17
General Canuto A. Neri,Cielo nublado,6,Suroeste,233.30,24.09,Lunes,2023-09-11 14:00:00,71.01,12,31,18.4185,-100.0721,Guerrero,114, 0.50, 0.00, 5.76,26.60, 5.06
General Cepeda,Despejado,6,Noreste,47.32,19.22,Lunes,2023-09-11 14:00:00,19.13,5,11,25.3799,-101.4793,Coahuila,114, 0.00, 0.00,21.83,31.36,18.34
General Enrique Estrada,Despejado,6,Noreste,63.77,16.84,Lunes,2023-09-11 14:00:00,22.40,32,13,22.9951,-102.7400,Zacatecas,114, 0.00, 0.00,19.10,27.53,18.52
General Escobedo,Despejado,6,Este,109.74,22.88,Lunes,2023-09-11 14:00:00,20.86,19,21,25.8080,-100.3226,Nuevo León,114, 0.00, 0.00,22.49,34.66,22.08
General Felipe Ángeles,Medio nublado,6,Sur,199.98,15.83,Lunes,2023-09-11 14:00:00,36.21,21,65,18.9934,-97.7088,Puebla,114, 0.13, 0.00, 9.46,22.93, 8.19
General Francisco R. Murguía,Despejado,6,Noreste,42.31,17.03,Lunes,2023-09-11 14:00:00,21.24,32,14,23.9947,-103.0198,Zacatecas,114, 0.00, 0.00,17.70,28.13,14.62
General Heliodoro Castillo,Cielo nublado,6,Este,69.94,21.58,Lunes,2023-09-11 14:00:00,71.95,12,32,17.7894,-99.9783,Guerrero,114, 1.98,33.92, 6.63,24.01, 5.31
General Plutarco Elías Calles,Medio nublado,7,Sur,199.08,25.02,Lunes,2023-09-11 14:00:00,22.28,26,70,31.8665,-112.8574,Sonora,114, 0.00, 0.00,26.78,36.50,26.39
General Pánfilo Natera,Despejado,6,Noreste,59.88,18.29,Lunes,2023-09-11 14:00:00,21.67,32,16,22.6644,-102.1099,Zacatecas,114, 0.00, 0.00,20.66,29.35,19.70
General Simón Bolívar,Despejado,6,Noreste,40.35,20.23,Lunes,2023-09-11 14:00:00,19.79,10,6,24.6891,-103.2260,Durango,114, 0.00, 0.00,15.47,32.17,10.84
General Terán,Despejado,6,Este,99.79,24.62,Lunes,2023-09-11 14:00:00,20.13,19,22,25.2572,-99.6858,Nuevo León,114, 0.00, 0.00,19.87,36.84,19.35
General Treviño,Despejado,6,Sureste,134.10,25.48,Lunes,2023-09-11 14:00:00,24.26,19,23,26.2270,-99.4841,Nuevo León,114, 0.00, 0.00,22.71,36.28,22.30
General Zaragoza,Despejado,6,Este,77.58,17.38,Lunes,2023-09-11 14:00:00,33.88,19,24,23.9733,-99.7724,Nuevo León,114, 0.10, 0.00,18.13,25.09,14.64
General Zuazua,Despejado,6,Sureste,119.87,23.57,Lunes,2023-09-11 14:00:00,21.60,19,25,25.8970,-100.1082,Nuevo León,114, 0.00, 0.00,25.87,35.12,23.37
González,Despejado,6,Sureste,140.79,25.05,Lunes,2023-09-11 14:00:00,31.44,28,12,22.8273,-98.4260,Tamaulipas,114, 0.08, 0.00,12.44,33.79,12.13
Gran Morelos,Poco nuboso,7,Este,78.80,19.00,Lunes,2023-09-11 14:00:00,12.96,8,26,28.2478,-106.5101,Chihuahua,114, 0.00, 0.00,14.62,34.09,13.32
Granados,Medio nublado,7,Suroeste,231.91,24.69,Lunes,2023-09-11 14:00:00,23.62,26,28,29.8623,-109.3105,Sonora,114, 0.00, 0.00,20.18,35.64,18.35
Guachinango,Despejado,6,Sur,192.84,22.88,Lunes,2023-09-11 14:00:00,36.93,14,38,20.5764,-104.3772,Jalisco,114, 0.12, 0.00,11.37,30.25, 5.31
Guachochi,Medio nublado,7,Suroeste,202.56,18.69,Lunes,2023-09-11 14:00:00,25.50,8,27,26.8192,-107.0694,Chihuahua,114, 5.50, 0.16,29.81,29.15,13.84
Guadalajara,Despejado,6,Este,87.79,20.88,Lunes,2023-09-11 14:00:00,26.69,14,39,20.6764,-103.3422,Jalisco,114, 0.00, 0.00,14.19,30.58, 1.96
Guadalcázar,Despejado,6,Sureste,137.10,21.10,Lunes,2023-09-11 14:00:00,25.99,24,17,22.6179,-100.3996,San Luis Potosí,114, 0.00, 0.00,21.45,31.03,14.33
Guadalupe,Despejado,6,Este,109.01,23.22,Lunes,2023-09-11 14:00:00,20.56,19,26,25.6773,-100.2599,Nuevo León,114, 0.00, 0.00,22.35,35.13,21.39
Guadalupe Etla,Cielo cubierto,6,Noreste,35.74,19.22,Lunes,2023-09-11 14:00:00,55.77,20,33,17.1716,-96.8106,Oaxaca,114, 0.43, 0.00, 7.01,23.37, 5.20
Guadalupe Victoria,Despejado,6,Noreste,53.00,14.96,Lunes,2023-09-11 14:00:00,19.68,10,8,24.4464,-104.1237,Durango,114, 0.00, 0.00,16.70,26.44,15.90
Guadalupe de Ramírez,Cielo cubierto,6,Noroeste,313.97,17.11,Lunes,2023-09-11 14:00:00,40.94,20,34,17.7561,-98.1644,Oaxaca,114, 0.03, 0.00, 8.08,23.40, 6.34
Guadalupe y Calvo,Medio nublado,7,Suroeste,225.00,20.92,Lunes,2023-09-11 14:00:00,37.10,8,29,26.0945,-106.9644,Chihuahua,114, 1.80, 5.69,23.00,28.64,14.30
Guanaceví,Poco nuboso,6,Noreste,40.93,14.40,Lunes,2023-09-11 14:00:00,16.20,10,9,25.9317,-105.9544,Durango,114, 0.31, 0.00,20.90,27.30,16.76
Guanajuato,Despejado,6,Este,72.09,17.45,Lunes,2023-09-11 14:00:00,20.37,11,15,21.0161,-101.2536,Guanajuato,114, 0.00, 0.00,22.91,28.90,17.40
Guasave,Despejado,7,Sur,195.42,31.23,Lunes,2023-09-11 14:00:00,52.70,25,11,25.5655,-108.4718,Sinaloa,114, 0.00, 0.00,21.67,36.29,20.60
Guaymas,Poco nuboso,7,Sur,179.15,27.84,Lunes,2023-09-11 14:00:00,39.59,26,29,27.9233,-110.8892,Sonora,114, 0.00, 0.00,28.91,35.08,22.34
Guazapares,Despejado,7,Oeste,251.14,28.98,Lunes,2023-09-11 14:00:00,41.87,8,30,27.2764,-108.2800,Chihuahua,114, 4.85, 0.00,17.63,35.71,15.02
Guelatao de Juárez,Cielo cubierto,6,Noreste,45.50,18.08,Lunes,2023-09-11 14:00:00,65.90,20,35,17.3182,-96.4937,Oaxaca,114, 0.90, 0.00, 8.30,21.00, 7.88
Guerrero,Despejado,5,Sureste,151.90,26.43,Lunes,2023-09-11 14:00:00,26.56,5,12,28.3084,-100.3787,Coahuila,114, 0.00, 0.00,27.07,36.59,25.14
Guevea de Humboldt,Poco nuboso,6,Norte,10.98,26.85,Lunes,2023-09-11 14:00:00,44.10,20,36,16.7926,-95.3681,Oaxaca,114, 0.05, 4.44,19.69,33.07,12.95
Gustavo A. Madero,Medio nublado,6,Suroeste,218.64,12.63,Lunes,2023-09-11 14:00:00,22.78,9,5,19.4829,-99.1135,Ciudad de México,114, 0.02, 0.00,13.29,22.84, 8.43
Gustavo Díaz Ordaz,Medio nublado,5,Sureste,121.10,25.54,Lunes,2023-09-11 14:00:00,30.05,28,15,26.2340,-98.5903,Tamaulipas,114, 0.00, 0.00,19.17,34.66,18.82
Gutiérrez Zamora,Despejado,6,Este,80.62,26.30,Lunes,2023-09-11 14:00:00,52.16,30,69,20.4519,-97.0876,Veracruz de Ignacio de la Llave,114, 0.00, 0.00,18.52,31.20,14.38
Gómez Farías,Despejado,6,Este,105.52,20.57,Lunes,2023-09-11 14:00:00,36.09,14,79,19.7944,-103.4731,Jalisco,114, 0.15, 0.00,12.98,27.97, 7.50
Gómez Palacio,Despejado,6,Este,88.92,22.69,Lunes,2023-09-11 14:00:00,16.16,10,7,25.5701,-103.4964,Durango,114, 0.00, 0.00,11.81,36.46,10.38
Güémez,Despejado,6,Este,101.38,23.78,Lunes,2023-09-11 14:00:00,26.45,28,13,23.9191,-99.0083,Tamaulipas,114, 0.00, 0.00,11.52,33.81,10.55
Halachó,Cielo cubierto,6,Este,82.97,29.16,Lunes,2023-09-11 14:00:00,44.66,31,33,20.4778,-90.0821,Yucatán,114, 0.00,95.00,15.50,35.49, 6.26
Hecelchakán,Cielo nublado,6,Noreste,63.62,28.83,Lunes,2023-09-11 14:00:00,36.42,4,5,20.1770,-90.1345,Campeche,114, 0.08,95.00,15.05,36.70, 5.90
Hermenegildo Galeana,Despejado,6,Noreste,57.01,22.27,Lunes,2023-09-11 14:00:00,56.24,21,68,20.1217,-97.7446,Puebla,114, 0.00, 0.00, 8.68,26.45, 7.27
Hermosillo,Poco nuboso,7,Sur,188.80,26.36,Lunes,2023-09-11 14:00:00,32.43,26,30,29.0749,-110.9585,Sonora,114, 0.00, 0.00,45.41,35.28,24.49
Heroica Ciudad de Ejutla de Crespo,Cielo cubierto,6,Este,89.68,21.71,Lunes,2023-09-11 14:00:00,48.07,20,28,16.5643,-96.7319,Oaxaca,114, 0.37, 0.00,14.03,27.03, 7.05
Heroica Ciudad de Huajuapan de León,Cielo cubierto,6,Noroeste,297.90,17.77,Lunes,2023-09-11 14:00:00,29.93,20,39,17.8068,-97.7762,Oaxaca,114, 0.03, 0.00,11.76,26.39, 8.81
Heroica Ciudad de Juchitán de Zaragoza,Despejado,6,Sur,159.01,30.72,Lunes,2023-09-11 14:00:00,52.09,20,43,16.4333,-95.0216,Oaxaca,114, 0.22, 0.00,37.80,35.83,23.39
Heroica Ciudad de Tlaxiaco,Cielo cubierto,6,Sur,201.21,16.87,Lunes,2023-09-11 14:00:00,58.00,20,397,17.2675,-97.6805,Oaxaca,114, 1.13, 0.00, 6.92,20.69, 5.58
Heroica Villa Tezoatlán de Segura y Luna,Cielo cubierto,6,Noroeste,323.57,17.04,Lunes,2023-09-11 14:00:00,39.89,20,549,17.6545,-97.8083,Oaxaca,114, 0.40, 0.00,10.47,23.55, 7.32
Hidalgo,Despejado,5,Sureste,151.21,26.51,Lunes,2023-09-11 14:00:00,26.48,5,13,27.7917,-99.8761,Coahuila,114, 0.00, 0.00,27.47,36.70,26.12
Hidalgo del Parral,Despejado,7,Este,74.60,18.92,Lunes,2023-09-11 14:00:00,10.73,8,32,26.9221,-105.6671,Chihuahua,114, 0.00, 0.00,17.12,35.48,13.09
Hidalgotitlán,Cielo nublado,6,Sureste,112.66,29.30,Lunes,2023-09-11 14:00:00,76.51,30,70,17.7710,-94.6465,Veracruz de Ignacio de la Llave,114, 1.57,20.56,12.12,31.36, 5.95
Higueras,Despejado,6,Sureste,121.26,23.34,Lunes,2023-09-11 14:00:00,23.18,19,28,25.9620,-100.0143,Nuevo León,114, 0.00, 0.00,22.59,34.32,21.32
Hocabá,Medio nublado,6,Este,98.90,30.23,Lunes,2023-09-11 14:00:00,34.97,31,34,20.8162,-89.2451,Yucatán,114, 0.00,95.00, 8.63,38.45, 3.47
Hoctún,Cielo nublado,6,Este,93.30,29.95,Lunes,2023-09-11 14:00:00,34.31,31,35,20.8652,-89.2021,Yucatán,114, 0.00,95.00,10.02,38.32, 7.62
Homún,Medio nublado,6,Este,82.00,30.05,Lunes,2023-09-11 14:00:00,36.20,31,36,20.7395,-89.2857,Yucatán,114, 0.00,95.00, 8.97,37.99, 3.60
Honey,Despejado,6,Noreste,50.63,19.03,Lunes,2023-09-11 14:00:00,48.35,21,57,20.2392,-98.2121,Puebla,114, 0.00, 0.00,14.86,24.20,11.90
Hopelchén,Cielo nublado,6,Este,85.46,28.68,Lunes,2023-09-11 14:00:00,31.90,4,6,19.7455,-89.8450,Campeche,114, 0.10,95.00,12.38,37.56, 6.90
Hostotipaquillo,Despejado,6,Noreste,60.64,22.66,Lunes,2023-09-11 14:00:00,34.80,14,40,21.0581,-104.0503,Jalisco,114, 0.05, 0.00,10.05,30.46, 3.49
Huachinera,Medio nublado,7,Suroeste,247.16,22.58,Lunes,2023-09-11 14:00:00,25.88,26,31,30.2113,-108.9588,Sonora,114, 0.09, 0.00,21.93,32.66,21.45
Huajicori,Cielo nublado,7,Oeste,249.90,24.86,Lunes,2023-09-11 14:00:00,66.97,18,5,22.6373,-105.3200,Nayarit,114, 0.85, 0.00,14.51,27.83,11.21
Hualahuises,Despejado,6,Sureste,126.34,23.47,Lunes,2023-09-11 14:00:00,22.64,19,29,24.8846,-99.6732,Nuevo León,114, 0.00, 0.00,15.75,34.65,13.65
Huamantla,Medio nublado,6,Este,70.31,11.65,Lunes,2023-09-11 14:00:00,33.15,29,13,19.3127,-97.9231,Tlaxcala,114, 0.00, 0.00, 7.68,19.13, 7.57
Huamuxtitlán,Cielo cubierto,6,Oeste,276.68,17.20,Lunes,2023-09-11 14:00:00,45.97,12,33,17.8022,-98.5653,Guerrero,114, 0.01, 0.00, 4.40,22.67, 2.50
Huandacareo,Despejado,6,Sureste,115.72,20.17,Lunes,2023-09-11 14:00:00,31.09,16,36,19.9887,-101.2759,Michoacán de Ocampo,114, 0.00, 0.00,13.00,28.66, 5.27
Huaniqueo,Despejado,6,Este,73.64,19.31,Lunes,2023-09-11 14:00:00,34.40,16,37,19.8990,-101.5052,Michoacán de Ocampo,114, 0.00, 0.00,12.13,26.99, 6.56
Huanusco,Despejado,6,Suroeste,203.09,17.92,Lunes,2023-09-11 14:00:00,25.57,32,18,21.7722,-102.9720,Zacatecas,114, 0.00, 0.00,18.03,27.71, 6.60
Huanímaro,Despejado,6,Noreste,57.45,22.61,Lunes,2023-09-11 14:00:00,24.19,11,16,20.3683,-101.4969,Guanajuato,114, 0.00, 0.00,15.73,33.20, 9.22
Huaquechula,Cielo nublado,6,Sur,184.23,18.51,Lunes,2023-09-11 14:00:00,37.74,21,69,18.7707,-98.5415,Puebla,114, 0.00, 0.00,14.10,25.46,12.06
Huasca de Ocampo,Despejado,6,Noreste,49.04,15.14,Lunes,2023-09-11 14:00:00,33.33,13,24,20.2036,-98.5776,Hidalgo,114, 0.00, 0.00,20.00,22.80,15.25
Huatabampo,Despejado,7,Suroeste,213.01,30.77,Lunes,2023-09-11 14:00:00,57.60,26,33,26.8269,-109.6442,Sonora,114, 0.00, 0.00,25.37,35.09,23.00
Huatlatlauca,Cielo cubierto,6,Suroeste,219.89,18.38,Lunes,2023-09-11 14:00:00,31.91,21,70,18.6788,-98.0508,Puebla,114, 0.00, 0.00,12.18,26.56, 8.69
Huatusco,Medio nublado,6,Este,93.83,22.12,Lunes,2023-09-11 14:00:00,54.34,30,71,19.1470,-96.9673,Veracruz de Ignacio de la Llave,114, 0.15, 0.00, 9.87,26.55, 7.70
Huauchinango,Despejado,6,Noreste,50.15,19.45,Lunes,2023-09-11 14:00:00,50.55,21,71,20.1747,-98.0513,Puebla,114, 0.00, 0.00,13.72,24.32,10.99
Huautepec,Cielo cubierto,6,Noreste,59.38,21.66,Lunes,2023-09-11 14:00:00,52.22,20,40,18.1020,-96.7973,Oaxaca,114, 0.00, 0.00, 9.92,26.36, 8.24
Huautla,Despejado,6,Sureste,125.24,28.40,Lunes,2023-09-11 14:00:00,34.69,13,25,21.0314,-98.2868,Hidalgo,114, 0.00, 0.00, 9.77,36.60, 9.76
Huautla de Jiménez,Cielo cubierto,6,Noreste,61.20,22.20,Lunes,2023-09-11 14:00:00,51.09,20,41,18.1304,-96.8462,Oaxaca,114, 0.00, 0.00, 9.36,27.09, 8.15
Huayacocotla,Despejado,6,Noreste,53.09,20.12,Lunes,2023-09-11 14:00:00,46.83,30,72,20.5373,-98.4792,Veracruz de Ignacio de la Llave,114, 0.00, 0.00,17.22,25.58,15.76
Huazalingo,Despejado,6,Este,98.64,26.32,Lunes,2023-09-11 14:00:00,40.19,13,26,20.9803,-98.5077,Hidalgo,114, 0.00, 0.00, 9.03,33.22, 9.00
Huehuetla,Despejado,6,Este,71.53,24.39,Lunes,2023-09-11 14:00:00,59.23,13,27,20.4603,-98.0784,Hidalgo,114, 0.00, 0.00, 8.63,28.26, 8.46
Huehuetlán,Despejado,6,Este,97.53,24.17,Lunes,2023-09-11 14:00:00,37.16,24,18,21.5462,-98.9664,San Luis Potosí,114, 0.00, 0.00, 9.22,31.56, 8.77
Huehuetlán el Chico,Cielo cubierto,6,Sur,161.65,22.20,Lunes,2023-09-11 14:00:00,39.91,21,73,18.3732,-98.6879,Puebla,114, 0.00, 0.00, 5.67,28.94, 2.92
Huehuetlán el Grande,Cielo nublado,6,Suroeste,209.93,18.22,Lunes,2023-09-11 14:00:00,33.43,21,150,18.7383,-98.1679,Puebla,114, 0.00, 0.00,12.53,26.04, 9.96
Huehuetoca,Despejado,6,Suroeste,229.28,12.78,Lunes,2023-09-11 14:00:00,25.72,15,35,19.8336,-99.2041,Estado de México,114, 0.00, 0.00,13.58,22.13, 9.71
Huehuetán,Cielo nublado,6,Suroeste,221.80,29.82,Lunes,2023-09-11 14:00:00,72.02,7,37,15.0185,-92.3842,Chiapas,114, 2.45,93.64, 9.73,32.34, 9.00
Huejotitán,Despejado,7,Sureste,144.70,17.86,Lunes,2023-09-11 14:00:00,10.66,8,33,27.0547,-106.1795,Chihuahua,114, 0.00, 0.00,11.50,34.34, 9.34
Huejotzingo,Cielo nublado,6,Sureste,153.79,12.84,Lunes,2023-09-11 14:00:00,34.34,21,74,19.1590,-98.4080,Puebla,114, 0.10, 0.00,10.75,20.15, 8.29
Huejuquilla el Alto,Despejado,6,Sur,176.95,18.37,Lunes,2023-09-11 14:00:00,24.56,14,42,22.6286,-103.8942,Jalisco,114, 0.00, 0.00,18.01,28.52, 8.25
Huejutla de Reyes,Despejado,6,Este,106.31,28.31,Lunes,2023-09-11 14:00:00,33.38,13,28,21.1394,-98.4205,Hidalgo,114, 0.00, 0.00, 9.38,36.81, 8.59
Huejúcar,Despejado,6,Este,96.38,16.58,Lunes,2023-09-11 14:00:00,23.69,14,41,22.3622,-103.2117,Jalisco,114, 0.00, 0.00,20.32,26.83, 6.88
Huetamo,Poco nuboso,6,Sureste,144.93,28.29,Lunes,2023-09-11 14:00:00,51.50,16,38,18.6264,-100.8997,Michoacán de Ocampo,114, 0.40, 0.00, 4.82,33.37, 4.32
Hueyapan,Cielo nublado,6,Sureste,128.78,18.64,Lunes,2023-09-11 14:00:00,51.40,21,75,19.8826,-97.4459,Puebla,114, 0.00, 0.00,11.46,23.36, 9.67
Hueyapan de Ocampo,Cielo nublado,6,Noroeste,323.39,26.94,Lunes,2023-09-11 14:00:00,70.25,30,73,18.1519,-95.1427,Veracruz de Ignacio de la Llave,114, 1.40,74.20,10.45,29.58, 7.38
Hueyotlipan,Cielo cubierto,6,Sureste,113.17,12.12,Lunes,2023-09-11 14:00:00,31.25,29,14,19.4700,-98.3485,Tlaxcala,114, 0.02, 0.00, 9.01,20.04, 7.60
Hueypoxtla,Despejado,6,Noreste,30.89,13.03,Lunes,2023-09-11 14:00:00,24.16,15,36,19.9070,-99.0784,Estado de México,114, 0.00, 0.00,16.94,22.85,16.73
Hueytamalco,Cielo nublado,6,Oeste,273.77,22.61,Lunes,2023-09-11 14:00:00,48.95,21,76,19.9395,-97.2890,Puebla,114, 0.01, 0.00, 9.50,27.84, 7.68
Hueytlalpan,Poco nuboso,6,Noreste,36.06,20.90,Lunes,2023-09-11 14:00:00,53.95,21,77,20.0257,-97.6987,Puebla,114, 0.00, 0.00,10.50,25.34, 7.99
Huhí,Cielo nublado,6,Este,88.67,29.81,Lunes,2023-09-11 14:00:00,34.06,31,37,20.7250,-89.1622,Yucatán,114, 0.00,95.00, 9.52,38.22, 6.58
Huichapan,Despejado,6,Noreste,52.28,15.44,Lunes,2023-09-11 14:00:00,25.71,13,29,20.3753,-99.6512,Hidalgo,114, 0.00, 0.00,17.52,25.00,15.80
Huiloapan de Cuauhtémoc,Cielo cubierto,6,Este,84.49,19.02,Lunes,2023-09-11 14:00:00,48.06,30,74,18.8166,-97.1559,Veracruz de Ignacio de la Llave,114, 0.12, 0.00,11.86,24.23, 8.54
Huimanguillo,Cielo cubierto,6,Este,74.51,29.79,Lunes,2023-09-11 14:00:00,68.11,27,8,17.8352,-93.3908,Tabasco,114, 1.89,74.55,13.99,32.75, 7.71
Huimilpan,Despejado,6,Noreste,59.62,16.86,Lunes,2023-09-11 14:00:00,26.33,22,8,20.3752,-100.2743,Querétaro de Arteaga,114, 0.00, 0.00,17.39,26.37,15.07
Huiramba,Despejado,6,Noreste,59.36,16.57,Lunes,2023-09-11 14:00:00,37.26,16,39,19.5465,-101.4380,Michoacán de Ocampo,114, 0.13, 0.00,13.00,23.52, 9.99
Huitiupán,Medio nublado,6,Sur,158.60,23.49,Lunes,2023-09-11 14:00:00,58.34,7,39,17.1732,-92.6859,Chiapas,114, 0.58,95.00,12.06,27.46, 8.92
Huitzilac,Cielo cubierto,6,Sur,164.28,12.05,Lunes,2023-09-11 14:00:00,53.18,17,9,19.0290,-99.2675,Morelos,114, 0.22, 0.00,11.61,16.29,11.44
Huitzilan de Serdán,Medio nublado,6,Noreste,23.15,17.85,Lunes,2023-09-11 14:00:00,49.70,21,78,19.9662,-97.6935,Puebla,114, 0.00, 0.00,12.97,22.77, 9.06
Huitziltepec,Cielo nublado,6,Sur,179.74,17.55,Lunes,2023-09-11 14:00:00,29.75,21,79,18.7694,-97.8808,Puebla,114, 0.00, 0.00, 8.81,26.19, 6.59
Huitzuco de los Figueroa,Cielo cubierto,6,Sur,165.04,22.66,Lunes,2023-09-11 14:00:00,50.47,12,34,18.3060,-99.3343,Guerrero,114, 0.05, 0.00, 5.78,27.67, 3.29
Huixquilucan,Cielo nublado,6,Noreste,46.78,10.01,Lunes,2023-09-11 14:00:00,28.43,15,37,19.3602,-99.3517,Estado de México,114, 0.09, 0.00,12.18,18.46,11.27
Huixtla,Cielo nublado,6,Suroeste,222.89,28.97,Lunes,2023-09-11 14:00:00,71.34,7,40,15.1380,-92.4660,Chiapas,114, 2.70,95.00, 9.97,31.55, 9.15
Huixtán,Cielo nublado,6,Este,86.27,19.87,Lunes,2023-09-11 14:00:00,62.62,7,38,16.7122,-92.4546,Chiapas,114, 0.58,95.00,20.50,23.23, 9.96
Hunucmá,Cielo nublado,6,Noreste,58.53,29.32,Lunes,2023-09-11 14:00:00,52.23,31,38,21.0162,-89.8771,Yucatán,114, 0.07,95.00,16.30,34.38,11.05
Huásabas,Cielo nublado,7,Suroeste,231.03,24.35,Lunes,2023-09-11 14:00:00,23.30,26,32,29.9042,-109.3015,Sonora,114, 0.00, 0.00,19.46,35.38,16.72
Huépac,Medio nublado,7,Suroeste,220.63,23.14,Lunes,2023-09-11 14:00:00,25.35,26,34,29.9113,-110.2137,Sonora,114, 0.00, 0.00,16.76,33.41,16.36
Ignacio Zaragoza,Cielo cubierto,7,Oeste,258.66,16.63,Lunes,2023-09-11 14:00:00,52.82,8,34,29.6432,-107.7642,Chihuahua,114, 2.96, 0.00,52.36,21.43,26.66
Ignacio de la Llave,Cielo cubierto,6,Sureste,115.64,28.88,Lunes,2023-09-11 14:00:00,62.72,30,75,18.7243,-95.9856,Veracruz de Ignacio de la Llave,114, 0.00, 0.00, 9.09,32.44, 8.25
Iguala de la Independencia,Cielo cubierto,6,Sur,190.90,24.32,Lunes,2023-09-11 14:00:00,55.26,12,35,18.3445,-99.5384,Guerrero,114, 0.05, 0.00, 5.37,28.71, 4.29
Igualapa,Cielo nublado,6,Suroeste,223.29,26.53,Lunes,2023-09-11 14:00:00,52.08,12,36,16.7437,-98.4766,Guerrero,114, 0.21, 0.00, 8.76,31.45, 7.98
Ilamatlán,Despejado,6,Este,78.42,24.25,Lunes,2023-09-11 14:00:00,48.67,30,76,20.7810,-98.4433,Veracruz de Ignacio de la Llave,114, 0.00, 0.00,11.04,29.59,10.88
Iliatenco,Cielo cubierto,6,Suroeste,217.86,20.21,Lunes,2023-09-11 14:00:00,64.91,12,81,17.0455,-98.6858,Guerrero,114, 0.31, 0.00, 4.94,23.29, 4.60
Imuris,Medio nublado,7,Suroeste,229.65,23.48,Lunes,2023-09-11 14:00:00,24.54,26,35,30.7772,-110.8614,Sonora,114, 0.00, 0.00,22.50,34.03,17.95
Indaparapeo,Despejado,6,Oeste,272.33,18.02,Lunes,2023-09-11 14:00:00,36.41,16,40,19.7901,-100.9685,Michoacán de Ocampo,114, 0.06, 0.00,12.06,25.21, 6.43
Indé,Despejado,6,Este,111.86,18.70,Lunes,2023-09-11 14:00:00,14.02,10,11,25.9120,-105.2238,Durango,114, 0.00, 0.00,11.36,33.14, 9.10
Irapuato,Despejado,6,Este,90.79,21.53,Lunes,2023-09-11 14:00:00,21.21,11,17,20.6728,-101.3481,Guanajuato,114, 0.00, 0.00,18.62,33.05,10.20
Irimbo,Despejado,6,Noreste,42.18,14.21,Lunes,2023-09-11 14:00:00,32.27,16,41,19.6975,-100.4791,Michoacán de Ocampo,114, 0.05, 0.00,12.91,22.07,10.56
Isidro Fabela,Despejado,6,Noreste,62.69,12.96,Lunes,2023-09-11 14:00:00,30.37,15,38,19.5556,-99.4174,Estado de México,114, 0.01, 0.00,12.67,21.14,12.43
Isla,Cielo nublado,6,Noroeste,319.51,28.86,Lunes,2023-09-11 14:00:00,68.59,30,77,18.0275,-95.5276,Veracruz de Ignacio de la Llave,114, 0.24, 0.71,12.44,31.73, 9.77
Isla Mujeres,Cielo nublado,5,Este,79.94,29.74,Lunes,2023-09-11 14:00:00,57.94,23,3,21.2566,-86.7461,Quintana Roo,114, 0.01,95.00,14.53,33.99,14.18
Iturbide,Despejado,6,Este,83.58,19.33,Lunes,2023-09-11 14:00:00,29.62,19,30,24.7260,-99.9053,Nuevo León,114, 0.00, 0.00,16.58,28.14,15.93
Ixcamilpa de Guerrero,Cielo cubierto,6,Este,84.26,20.01,Lunes,2023-09-11 14:00:00,43.30,21,81,18.0270,-98.6966,Puebla,114, 0.00, 0.00, 4.27,26.03, 1.16
Ixcaquixtla,Cielo cubierto,6,Sureste,141.06,17.93,Lunes,2023-09-11 14:00:00,32.34,21,82,18.4601,-97.8323,Puebla,114, 0.00, 0.00,13.93,25.98,12.81
